Date,Open,High,Low,Close,Adj Close,Volume
2017-06-22,6350.000000,6375.000000,6275.000000,6375.000000,5401.583008,70322200
2017-06-23,6375.000000,6375.000000,6375.000000,6375.000000,5401.583008,0
2017-06-26,6375.000000,6375.000000,6375.000000,6375.000000,5401.583008,0
2017-06-27,6375.000000,6375.000000,6375.000000,6375.000000,5401.583008,0
2017-06-28,6375.000000,6375.000000,6375.000000,6375.000000,5401.583008,0
2017-06-29,6375.000000,6375.000000,6375.000000,6375.000000,5401.583008,0
2017-06-30,6375.000000,6375.000000,6375.000000,6375.000000,5401.583008,0
2017-07-03,6387.500000,6750.000000,6337.500000,6750.000000,5719.323242,58170200
2017-07-04,6662.500000,6750.000000,6600.000000,6750.000000,5719.323242,32792800
2017-07-05,6737.500000,6737.500000,6612.500000,6662.500000,5645.183105,78403600
2017-07-06,6662.500000,6725.000000,6650.000000,6662.500000,5645.183105,34256000
2017-07-07,6550.000000,6687.500000,6550.000000,6625.000000,5613.409668,47198000
2017-07-10,6500.000000,6650.000000,6500.000000,6550.000000,5549.861816,22414000
2017-07-11,6500.000000,6525.000000,6437.500000,6487.500000,5496.904297,24711200
2017-07-12,6425.000000,6625.000000,6425.000000,6612.500000,5602.818359,16556200
2017-07-13,6650.000000,6700.000000,6525.000000,6700.000000,5676.957520,51436000
2017-07-14,6725.000000,6775.000000,6600.000000,6775.000000,5740.505371,11773600
2017-07-17,6775.000000,6787.500000,6725.000000,6787.500000,5751.097168,14041600
2017-07-18,6750.000000,6762.500000,6712.500000,6762.500000,5729.914551,8555200
2017-07-19,6787.500000,6787.500000,6625.000000,6662.500000,5645.183105,23991200
2017-07-20,6662.500000,6750.000000,6650.000000,6750.000000,5719.323242,15778400
2017-07-21,6662.500000,6750.000000,6525.000000,6525.000000,5528.678711,31478400
2017-07-24,6512.500000,6637.500000,6500.000000,6637.500000,5624.000488,34314800
2017-07-25,6550.000000,6675.000000,6550.000000,6675.000000,5655.774902,28378600
2017-07-26,6600.000000,6725.000000,6600.000000,6675.000000,5655.774902,57037800
2017-07-27,6675.000000,6725.000000,6650.000000,6687.500000,5666.366211,37365800
2017-07-28,6725.000000,6725.000000,6612.500000,6687.500000,5666.366211,43696400
2017-07-31,6700.000000,6825.000000,6650.000000,6825.000000,5782.871582,42708800
2017-08-01,6837.500000,6837.500000,6700.000000,6700.000000,5676.957520,14989600
2017-08-02,6637.500000,6750.000000,6625.000000,6637.500000,5624.000488,32649800
2017-08-03,6600.000000,6650.000000,6550.000000,6562.500000,5560.452637,37687600
2017-08-04,6525.000000,6662.500000,6525.000000,6537.500000,5539.270020,31384800
2017-08-07,6525.000000,6612.500000,6525.000000,6587.500000,5581.635742,35883400
2017-08-08,6587.500000,6712.500000,6575.000000,6712.500000,5687.548828,29032800
2017-08-09,6725.000000,6750.000000,6625.000000,6700.000000,5676.957520,24729400
2017-08-10,6750.000000,6750.000000,6637.500000,6662.500000,5645.183105,20743200
2017-08-11,6625.000000,6650.000000,6575.000000,6600.000000,5592.226074,55524600
2017-08-14,6600.000000,6650.000000,6600.000000,6625.000000,5613.409668,38975800
2017-08-15,6662.500000,6662.500000,6637.500000,6650.000000,5634.592285,23604400
2017-08-16,6662.500000,6662.500000,6625.000000,6662.500000,5645.183105,20168600
2017-08-17,6662.500000,6662.500000,6662.500000,6662.500000,5645.183105,0
2017-08-18,6600.000000,6600.000000,6537.500000,6550.000000,5549.861816,71707200
2017-08-21,6525.000000,6625.000000,6525.000000,6600.000000,5592.226074,28366400
2017-08-22,6650.000000,6650.000000,6625.000000,6625.000000,5613.409668,18540200
2017-08-23,6675.000000,6687.500000,6600.000000,6637.500000,5624.000488,23085600
2017-08-24,6650.000000,6650.000000,6600.000000,6600.000000,5592.226074,42355800
2017-08-25,6675.000000,6675.000000,6587.500000,6587.500000,5581.635742,22513200
2017-08-28,6625.000000,6637.500000,6600.000000,6612.500000,5602.818359,7703800
2017-08-29,6587.500000,6612.500000,6550.000000,6550.000000,5549.861816,41693200
2017-08-30,6550.000000,6587.500000,6537.500000,6550.000000,5549.861816,24114200
2017-08-31,6537.500000,6587.500000,6537.500000,6550.000000,5549.861816,34550400
2017-09-01,6550.000000,6550.000000,6550.000000,6550.000000,5549.861816,0
2017-09-04,6525.000000,6562.500000,6487.500000,6525.000000,5528.678711,34634200
2017-09-05,6500.000000,6537.500000,6437.500000,6537.500000,5539.270020,26711600
2017-09-06,6450.000000,6512.500000,6400.000000,6475.000000,5486.313965,63184200
2017-09-07,6525.000000,6525.000000,6450.000000,6512.500000,5518.087402,22772200
2017-09-08,6537.500000,6662.500000,6500.000000,6637.500000,5624.000488,46394000
2017-09-11,6637.500000,6650.000000,6600.000000,6600.000000,5592.226074,25523200
2017-09-12,6650.000000,6662.500000,6587.500000,6600.000000,5592.226074,51482000
2017-09-13,6700.000000,6700.000000,6550.000000,6575.000000,5571.043945,11134900
2017-09-14,6625.000000,6650.000000,6550.000000,6550.000000,5549.861816,16193500
2017-09-15,6550.000000,6675.000000,6525.000000,6625.000000,5613.409668,48288500
2017-09-18,6550.000000,6625.000000,6500.000000,6575.000000,5571.043945,15601500
2017-09-19,6600.000000,6625.000000,6525.000000,6600.000000,5592.226074,32813800
2017-09-20,6575.000000,6625.000000,6550.000000,6600.000000,5592.226074,76154100
2017-09-21,6600.000000,6600.000000,6600.000000,6600.000000,5592.226074,0
2017-09-22,6600.000000,6650.000000,6550.000000,6600.000000,5592.226074,44165800
2017-09-25,6600.000000,6650.000000,6550.000000,6575.000000,5571.043945,27522900
2017-09-26,6600.000000,6600.000000,6550.000000,6550.000000,5549.861816,47042700
2017-09-27,6575.000000,6600.000000,6525.000000,6600.000000,5592.226074,60907100
2017-09-28,6600.000000,6625.000000,6575.000000,6575.000000,5571.043945,28024800
2017-09-29,6575.000000,6775.000000,6575.000000,6725.000000,5698.140625,87859600
2017-10-02,6725.000000,6750.000000,6625.000000,6700.000000,5676.957520,20795400
2017-10-03,6700.000000,6750.000000,6650.000000,6700.000000,5676.957520,29826700
2017-10-04,6725.000000,6725.000000,6650.000000,6650.000000,5634.592285,21820900
2017-10-05,6675.000000,6700.000000,6575.000000,6600.000000,5592.226074,38959000
2017-10-06,6600.000000,6625.000000,6575.000000,6600.000000,5592.226074,11235600
2017-10-09,6650.000000,6650.000000,6575.000000,6600.000000,5592.226074,10514300
2017-10-10,6650.000000,6725.000000,6600.000000,6700.000000,5676.957520,26580600
2017-10-11,6725.000000,6775.000000,6675.000000,6725.000000,5698.140625,58794200
2017-10-12,6750.000000,6875.000000,6675.000000,6825.000000,5782.871582,83789200
2017-10-13,6850.000000,7000.000000,6775.000000,6775.000000,5740.505371,49330500
2017-10-16,6875.000000,7125.000000,6875.000000,6925.000000,5867.601563,88646000
